BSU	Gene	A22	Acriflavine	Actinomycin_D	Aztreonam	Benzalkonium	Cefaclor	Cefoxitin	Cerulenin	Chlorhexidine	Ciprofloxacin	Copper(II)_stress	Cycloserine_D	Dibucaine	Dipyridyl	Doxycycline	EDTA	Ethidium_bromide	Fosfomycin	Fusidic_acid	Gliotoxin	Holomycin	Iron(II)_stress	Mupirocin	Nalidixic_acid	Novobiocin	PAC-holo	Phenazine_monosulfate	Propidium_iodide	Puromycin	Rifampicin	SDS	Sulfamonomethoxine	Thiolutin	Triclosan	Trimethoprim	Vancomycin
BSU01110	rpsG	-0.07417342	1.276164144	2.893563369	2.5229760875	0.2499618735	1.635738984	0.8233304495	-0.272236135	0.233259974	0.349710257	1.76319214	-1.061959803	1.211311884	2.87901997	-0.972804275	1.791763713	0.843920358	-1.263578022	-0.536789649	1.088991236	2.22302305	-0.303703744	-1.354095152	2.89277592	-1.195501798	-2.182969392	-0.284893442	-0.516796747	0.435377424	-0.7511841795	-0.389965921	1.45466757	1.44944787	-0.049951705	-0.593992838	0.1126877045
BSU01120	fusA	0.3486582925	1.137582079	3.384592273	3.424647537	-0.2477637235	2.384811314	0.5904414525	-0.466811991	-0.392488002	1.083854191	1.041523681	-0.384773042	0.748971759	0.794929771	0.326617078	1.09665117	1.374414102	0.105960396	-0.147973795	1.697826234	2.505332045	1.1320114425	-1.348774707	2.831929644	-0.320931805	-2.1118041535	0.366504528	-0.226619632	0.499850439	-0.0127939505	0.211242568	-0.680003156	1.80562813	-1.246250032	-0.6066198825	0.367725578
BSU01130	tufA	-1.6754583245	0.755364329	-0.015359294	-0.3874452345	-0.878147351	2.622938528	-1.4577425545	-1.163044552	-0.568563055	1.00006599	0.078154252	-0.615588863	-0.367325891	0.2857463315	-1.592669937	0.274986804	-0.528246837	-0.3993021435	-0.6432878035	0.388974802	1.775107436	-0.425006665	0.60941782	0.882772129	0.364359098	-1.1722839655	0.582516966	-0.180325125	0.113564904	0.3392370765	-0.029215532	0.746018102	0.832093475	-1.635414622	1.024064287	-1.6342175765
BSU01150	rpsJ	-0.2235802555	0.898652633	-0.63892118	0.790938764	-0.205383238	-0.885192644	0.7189724365	0.007481772	-0.031564655	0.22575662	-0.482966721	-0.334011267	-0.766322819	-0.4006457035	-0.339885312	-0.483441894	0.358682672	-0.6562152965	-0.943569916	0.919521859	0.041519782	0.834554026	0.278940123	1.040602669	0.019692398	1.1091710915	0.638716867	0.444497192	0.439385921	-0.5346164105	0.351997744	-0.410461483	-0.201417675	0.108851591	-0.0365524675	0.3362045735
BSU01160	rplC	1.1660650405	0.73381983	-1.148330888	3.266906518	-0.912068141	0.150280944	1.762764561	0.574047481	-0.084888809	1.479952021	-0.804663194	-0.294560713	-0.181236236	1.3573612365	-1.097947742	-0.180269985	0.520697788	-0.4982565675	-0.2080348815	-0.240834173	2.371023977	1.313771533	-0.793596118	2.044158825	0.367105231	-1.4572273925	0.545591031	0.066719408	0.388532815	0.459777234	0.352225356	-0.050252117	0.881197947	-1.518373782	-0.025038096	1.7760208715
BSU01170	rplD	-0.1683958975	0.799942925	-0.826542095	0.2150805475	0.1280035795	-0.636569028	-0.0821217965	-0.821429882	0.73479891	0.031340649	-0.201913362	0.267676175	-0.348314459	1.0704545115	0.421946668	-0.656903277	0.432087873	0.14082806	-1.1501204415	0.313071312	-0.367534066	-0.6938355555	0.626826814	-0.330408237	-0.603823026	0.300094296	-0.743228725	0.041160541	0.335413289	0.5798393565	-0.211626676	0.36625867	-0.066525665	-0.924917132	-0.1161239265	-0.0111667245
BSU01190	rplB	0.632263354	0.353844597	-0.206378733	0.274876674	-0.285949141	0.092619961	0.42399724	-1.624237423	0.483431641	-0.085244135	0.189202369	0.514530618	0.608172872	-2.0869179685	0.296662086	0.560922291	-0.081623335	-0.5526974785	0.0051602075	-0.11875391	-0.383064101	0.1901647965	0.178122365	0.264605729	-0.457945208	1.990321911	-0.630117496	0.384687107	0.63935399	0.4902973355	0.070145211	0.493258406	-1.094627811	-0.125100562	-0.116709347	0.430868291
BSU01200	rpsS	-0.2632434245	1.21350105	0.236245917	1.172641366	-1.535673294	-0.857392876	-0.8038789195	0.203898506	-2.80920376	1.40171721	1.001060235	-2.108678606	-1.369519477	-0.323361811	0.215147962	-0.00193113	-0.092422042	-1.4220350845	-1.37274129	-0.211107606	0.481050904	1.922062893	-1.329546805	1.171276039	1.890545336	-1.062800446	-0.197713018	2.041700841	-0.674727204	-0.663809421	0.50953973	0.539471655	0.879614974	-1.839253747	0.974011341	0.1296734135
BSU01220	rpsC	0.423582535	1.57002621	-0.022469407	2.2454565595	-1.2693944525	-1.259464865	0.416512022	-0.565711687	0.038457064	0.516028844	-0.378578095	-0.738626294	0.568328503	-0.118048944	-2.495841024	0.061860578	0.14467279	-1.13916166	1.0222986895	0.187305686	1.614958428	0.3602460795	-0.776166767	3.621767299	0.108189625	-1.656031961	-1.521601163	-0.703654728	-0.330243928	0.233672195	-1.932441448	-0.043868032	0.850176047	-0.449778075	1.2128099705	0.3919388575
BSU01230	rplP	-0.230726736	0.8343936	0.85763408	3.3698551095	-1.6650023785	0.56602496	1.978427869	-1.067424995	-0.900881787	0.939386832	0.307106298	-1.679727503	-0.340350546	0.176498325	-0.42411329	-1.263245026	-1.186720185	0.8800632285	-1.303294265	-0.344483054	0.823681125	0.4093896995	0.397062089	1.922056768	-1.208050654	-3.819132644	-0.24044387	-0.407124032	-0.680933128	0.8795567395	-0.717404628	-1.019233471	-0.014480407	-1.434984625	0.942797837	0.4574023075
